registeredClassID, classID, studentID, registrationDate
RC00001, LT-05-Ars, TP000002, 2025-12-28
RC00002, LT-05-Ars, TP000003, 2025-12-29
RC00003, LT-04-Itb, TP000005, 2025-12-29
RC00004, LB-01-Maths, TP000001, 2025-11-15
RC00005, LB-10-Ioop, TP000001, 2025-11-15
RC00006, TT-03-Ars, TP000002, 2025-11-15
RC00007, TT-07-Ars, TP000003, 2025-11-15
RC00008, TT-05-Itb, TP000005, 2025-11-15
RC00009, LT-01-Maths, TP000001, 2025-11-15
RC00010, LT-01-Ioop, TP000001, 2025-11-15
RC00011, LB-13-Ioop, TP000006, 2025-12-14
RC00012, LB-01-Iai, TP000006, 2025-12-14
RC00013, LT-03-Ioop, TP000006, 2025-12-14
RC00014, LT-01-Iai, TP000006, 2025-12-14
RC00015, LB-13-Ioop, TP000007, 2025-12-15
RC00016, LB-01-Iai, TP000007, 2025-12-15
RC00017, LT-03-Ioop, TP000007, 2025-12-15
RC00018, LT-01-Iai, TP000007, 2025-12-15
